Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"48282","2019-03-31 02:03:57","1","319","<python><data-mining><cross-validation>","0",""
"48286","2019-03-31 05:54:52","1","854","<classification><clustering><multilabel-classification><labels>","0",""
"48287","2019-03-31 10:51:35","0","1123","<python><tensorflow><dataset><annotation>","0",""
"48288","2019-03-31 11:33:53","1","389","<apache-hadoop>","0",""
"48289","2019-03-31 11:53:14","1","140","<machine-learning><nlp><data-science-model><nltk>","0",""
"48290","2019-03-31 12:57:04","2","106","<machine-learning><classification><clustering><statistics>","2",""
"48292","2019-03-31 13:46:33","0","76","<dataset><audio-recognition><speech-to-text>","1",""
"48293","2019-03-31 14:02:59","3","82","<pandas><data>","1",""
"48294","2019-03-31 14:28:26","6","1422","<feature-selection><random-forest><feature-engineering>","3","1"
"48295","2019-03-31 14:30:37","1","147","<machine-learning><neural-network><deep-learning>","1",""
"48297","2019-03-31 15:03:52","0","70","<machine-learning><bigdata><sampling>","1",""
"60183","2019-09-14 09:52:33","0","36","<neural-network><keras>","1",""
"60190","2019-09-14 12:25:34","3","61","<machine-learning><r><feature-selection>","0","0"
"60192","2019-09-14 13:21:56","1","226","<machine-learning><normalization><data-analysis>","4",""
"60194","2019-09-14 14:32:17","1","76","<classification><feature-selection><multiclass-classification><multilabel-classification>","2","1"
"60201","2019-09-14 18:00:57","1","45","<machine-learning><optimization><data-science-model><expectation-maximization><gmm>","1",""
"60202","2019-09-14 18:14:22","1","54","<reinforcement-learning>","0",""
"60204","2019-09-14 20:20:36","3","49","<clustering><unsupervised-learning><image-preprocessing><noise>","0",""
"60205","2019-09-14 23:28:38","1","116","<machine-learning><regularization><mnist>","0",""
"60207","2019-09-15 00:15:02","4","101","<machine-learning><neural-network><keras><optimization>","3",""
"60208","2019-09-15 00:32:09","1","237","<python><classification><xgboost>","1",""
"60213","2019-09-15 06:30:08","-1","27","<deep-learning><image-classification><gpu><consumerweb>","1",""
"60214","2019-09-15 07:58:29","0","263","<python><keras><cnn>","3",""
"60219","2019-09-15 10:10:02","1","18","<clustering><dimensionality-reduction>","0",""
"60220","2019-09-15 10:24:06","1","454","<python><feature-selection><anaconda>","1",""
"60222","2019-09-15 10:41:32","3","512","<machine-learning><python><nlp><word-embeddings><spacy>","1",""
"60225","2019-09-15 12:18:02","2","54","<machine-learning><nlp><lstm><word-embeddings>","0",""
"60226","2019-09-15 12:19:03","5","60","<time-series><data-mining><correlation><anomaly-detection><forecasting>","1","2"
"60228","2019-09-15 12:25:20","0","39","<machine-learning><python><classification><scikit-learn><multilabel-classification>","0",""
"60229","2019-09-15 13:44:42","3","122","<machine-learning><nlp><google><automl>","1","1"
"60230","2019-09-15 14:40:27","1","20","<machine-learning><python><scikit-learn><hyperparameter-tuning><grid-search>","0",""
"60233","2019-09-15 15:18:58","1","184","<machine-learning><python><named-entity-recognition>","0",""
"60236","2019-09-15 15:40:37","2","12","<machine-learning><neural-network><r><statistics><rstudio>","0",""
"60237","2019-09-15 15:43:13","1","53","<data-mining><visualization><graphs><graphical-model>","0",""
"60238","2019-09-15 15:54:31","1","18","<nlp><data-mining><text-mining>","1",""
"48302","2019-03-31 16:36:55","1","708","<python><pandas><visualization><dataframe><matplotlib>","1","1"
"48306","2019-03-31 18:04:40","1","445","<clustering>","0",""
"48308","2019-03-31 18:25:13","0","1300","<machine-learning><python><scikit-learn><numpy><scipy>","1",""
"48309","2019-03-31 19:03:41","5","81","<linear-regression>","2",""
"48312","2019-03-31 20:08:39","2","38","<machine-learning><svm><theory>","1",""
"48316","2019-03-31 21:40:59","4","1767","<python><dataset><data><numpy>","2",""
"48317","2019-03-31 22:20:22","2","381","<deep-learning><cnn><transfer-learning>","2",""
"48322","2019-04-01 01:23:54","3","633","<reinforcement-learning><q-learning><dqn><convergence><deepmind>","1",""
"48326","2019-04-01 04:47:05","0","185","<python><tensorflow><numpy>","1",""
"48328","2019-04-01 06:36:16","1","120","<keras><r><cnn>","0",""
"48330","2019-04-01 07:01:54","0","3202","<feature-selection><xgboost><feature-engineering>","1",""
"48331","2019-04-01 07:50:19","2","86","<machine-learning><python><scikit-learn><regression>","3",""
"48332","2019-04-01 08:00:03","2","51","<machine-learning><classification><training><class-imbalance>","2","2"
"48333","2019-04-01 08:29:55","0","51","<neural-network>","1",""
"48335","2019-04-01 09:22:09","6","16828","<python><pandas>","1",""
"48338","2019-04-01 09:43:40","1","413","<python><keras><tensorflow><predictive-modeling><cnn>","1",""
"48341","2019-04-01 11:17:57","1","29","<time-series><lstm><recurrent-neural-net><sequence-to-sequence>","0",""
"48344","2019-04-01 12:35:30","1","34","<classification><class-imbalance>","0","1"
"48345","2019-04-01 12:47:57","1","5017","<numpy><linear-algebra>","1",""
"48346","2019-04-01 12:55:24","4","2366","<machine-learning><keras><regression>","2",""
"48353","2019-04-01 13:55:55","0","64","<python><nlp><regex>","1",""
"48357","2019-04-01 14:34:32","1","305","<deep-learning><loss-function><hinge-loss>","1",""
"60242","2019-09-15 18:07:35","6","195","<neural-network><deep-learning><cnn>","1",""
"60243","2019-09-15 18:51:46","1","23","<cnn><image-classification><image-recognition><sentiment-analysis>","0",""
"60250","2019-09-16 01:20:59","4","255","<visualization><linux>","2",""
"60251","2019-09-16 01:42:20","1","45","<machine-learning><svm><math>","1",""
"60256","2019-09-16 05:42:00","0","50","<bigdata><pyspark>","0",""
"60257","2019-09-16 06:06:11","1","28","<keras><tensorflow><pytorch><object-detection>","0","1"
"60258","2019-09-16 06:52:32","0","170","<deep-learning><nlp><natural-language-process><machine-translation><transformer>","1",""
"60260","2019-09-16 08:43:53","1","289","<linear-regression><loss-function>","1","0"
"60261","2019-09-16 08:50:27","3","1961","<nlp><lstm><nlg>","2","1"
"60262","2019-09-16 08:56:51","0","83","<data-science-model>","1",""
"60264","2019-09-16 09:03:19","1","302","<feature-extraction>","1",""
"60266","2019-09-16 09:28:08","2","46","<natural-language-process>","2",""
